,ID,Cleaned_SMILES,EfpA_MLM_inhouse20230228_cutoff30_global1-inhouse2_cv0_39,EfpA_MLM_inhouse20230228_cutoff30_global1-inhouse2_cv1_39,EfpA_MLM_inhouse20230228_cutoff30_global1-inhouse2_cv2_39,EfpA_MLM_inhouse20230228_cutoff30_global1-inhouse2_cv3_39,EfpA_MLM_inhouse20230228_cutoff30_global1-inhouse2_cv4_39,True_Label
0,GDI13-563,CC1(C)C(C(=O)Nc2ccc(-n3nccn3)c(C(F)(F)F)n2)C1c1ncc(F)cn1,0.306931227,0.094208524,0.067854755,0.03827538,0.148766831,0.0
1,GDI13-564,CC1(C)C(C(=O)Nc2ccc(-n3nccn3)c(C(F)(F)F)n2)C1c1ncc(Cl)cn1,0.130727798,0.099728815,0.050475899,0.038188677,0.030275712,0.0
2,GDI13-596,CC1(C)C(C(=O)Nc2ccc(-n3nccn3)c(C(F)F)n2)C1c1ncc(F)cn1,0.028963003,0.002634824,0.000500276,0.008912483,0.037747908,0.0
3,GDI13-597,CC1(C)C(C(=O)Nc2ccc(-n3nccn3)c(C(F)F)n2)C1c1ncc(Cl)cn1,0.026194712,0.003197087,0.001136263,0.00559732,0.005105875,0.0
4,GDI13-609,CC1(C)C(C(=O)Nc2ccc(-c3cn[nH]n3)c(C(F)(F)F)n2)C1c1ncc(F)cn1,0.19385381,0.020442037,0.073092356,0.068877816,0.01747779,0.0
5,GDI13-602,CC1(C)C(C(=O)Nc2ccc(-c3cnn(C4CCNCC4)n3)c(C(F)(F)F)n2)C1c1ncc(F)cn1,0.071795367,0.077354364,0.122228578,0.188376978,0.13616538,0.0
6,GDI13-598,CC1(C)C(C(=O)Nc2ccc(-n3ncc(CN4CCOCC4)n3)c(C(F)(F)F)n2)C1c1ncc(F)cn1,0.747436106,0.687218964,0.727473915,0.939187825,0.500325501,1.0
7,GDI13-599,CC1(C)C(C(=O)Nc2ccc(-c3cn(CCN4CCOCC4)nn3)c(C(F)(F)F)n2)C1c1ncc(F)cn1,0.364158303,0.869799554,0.532774806,0.756664097,0.000351054,
8,GDI13-601,CC1(C)C(C(=O)Nc2ccc(-c3cnn(CCN4CCOCC4)n3)c(C(F)(F)F)n2)C1c1ncc(F)cn1,0.802021861,0.795880377,0.612209439,0.809290171,0.014772146,1.0
9,GDI13-606,CC1(C)C(C(=O)Nc2ccc(-c3cnn(CCO)n3)c(C(F)(F)F)n2)C1c1ncc(F)cn1,0.073193975,0.719928622,0.184614763,0.028436311,0.021390459,0.0
10,GDI13-603,CC1(C)C(C(=O)Nc2ccc(-c3cn(C4CCNCC4)nn3)c(C(F)(F)F)n2)C1c1ncc(F)cn1,0.100575775,0.020816786,0.078704074,0.197929263,0.000235673,
11,GDI13-605,CC1(C)C(C(=O)Nc2ccc(-c3cn(CCO)nn3)c(C(F)(F)F)n2)C1c1ncc(F)cn1,0.065652803,0.698931277,0.147306725,0.363109469,8.61e-05,
12,GDI13-636,Cc1cnn(-c2ccc(NC(=O)C3C(c4ncc(F)cn4)C3(C)C)nc2C(F)(F)F)n1,0.365060538,0.132966146,0.274222791,0.035565712,0.421597928,1.0
